Longitude,Latitude,OBJECTID,ADDRESS,COMMANDER,PHONE
-76.573588106312,39.310000517132,16,1620 Edison Hwy,Major Melvin Russell,410-396-2433
-76.582734403361,39.341107049351,14,1900 Argonne Dr,"Major Delmar Dickson, Jr.",410-396-2444
-76.607690330057,39.290228320774,11,601 E Fayette St,"Commissioner Frederick H. Bealefeld, III",410-396-2525
-76.663932339734,39.278418428771,19,424 Font Hill Av,Major Eric Russell,410-396-2488
-76.617130700359,39.253050193466,17,10 Cherry Hill Rd,Major Margaret Barillaro,410-396-2499
-76.547463644473,39.287897646263,18,5710 Eastern Av,Major William Davis,410-396-2411
-76.651983798603,39.342827063909,13,2201 W Cold Spring Ln,Major Ross Buzzuro,410-396-2455
-76.644951774056,39.300595401912,20,1034 N Mount St,"Major Robert L. Booker, Jr.",410-396-2477
-76.608532179207,39.290006564987,12,500 E Baltimore St,Major Dennis Smtih,410-396-2411
-76.685157558808,39.344848739885,15,5271 Reisterstown Rd,Major Johnny Delgado,410-396-2466
